CruiseName,StNo,Year,Julian Day,SalPpt50m,SalPpt100m
AC109,726,1970,348,30.757,31.073
AC111,3738,1971,7,31.737,31.776
AC116,1,1971,199,31.357,32.133
AC120,1,1971,255,31.121,32.03
AC124,1,1971,298,31.006,31.993
AC130,1,1972,93,31.999,32.129
AC135,1,1972,157,31.972,32.096
AC144,1,1972,29,30.628,31.962
AC176,12,1973,248,31.083,31.834
AC177,1,1973,251,31.499,31.843
AC180,2,1973,281,30.901,32.312
AC183,40,1973,347,31.058,31.718
AC186,3,1974,86,31.792,31.931
AC186,36,1974,100,31.973,32.088
AC187,7,1974,109,31.795,31.9
AC190,70,1974,15,31.793,32.116
AC193,61,1974,190,31.672,32.129
AC202,1,1974,321,30.087,31.664
AC204,5,1975,21,31.153,31.635
AC205,3,1975,43,31.464,31.534
AC207,1,1975,79,31.47,31.698
AC208,12,1975,100,31.614,31.71
RA806,71,1975,12,31.53,31.84
AC212,1,1975,153,31.565,31.857
SB811,64,1975,255,31.67,32.23
SU814,65,1975,306,30.498,31.928
MW1,88,1976,63,31.702,31.746
MW3,1,1976,10,31.775,31.804
AC229,99,1976,171,31.697,32.249
AC229,100,1976,171,31.519,31.961
MW5,1,1976,202,31.414,32.042
SU3,80,1976,257,30.917,31.851
FN6,5,1976,308,30.048,31.388
AC238,3,1976,341,29.741,31.457
FN9,16,1977,89,30.849,31.613
AC241,4,1977,113,31.209,31.863
AC248,20,1977,22,30.99,32.367
DS5,94,1977,319,30.347,31.798
AC253,32,1977,320,30.826,31.794
AC256,4,1978,46,31.493,31.662
AC256,49,1978,55,31.466,31.902
AC260,17,1978,111,31.636,32.076
AC260,25,1978,116,31.608,31.756
AC260,66,1978,123,31.503,31.901
AC262,4,1978,191,31.468,32.097
AC264,2,1978,211,31.395,32.108
AC264,144,1978,222,31.497,32.059
AC266,3,1978,261,30.604,32.176
AC266,62,1978,265,30.601,32.102
SU8,2,1979,38,31.477,31.452
AC271,2,1979,42,31.513,31.663
AC271,33,1979,47,31.531,31.665
AC274,2,1979,92,31.672,32.023
AC274,58,1979,97,31.802,31.835
AC277,1,1979,12,31.652,31.972
AC277,85,1979,135,31.617,31.851
AC282,3,1979,203,31.423,32.278
AC282,59,1979,207,31.681,32.201
AC286,64,1979,250,31.636,32.245
AC286,68,1979,24,31.401,32.224
HX2,3,1980,161,31.527,32.056
HX2,4,1980,161,31.539,31.978
HX2,29,1980,162,31.68,32.135
HX2,30,1980,162,31.684,32.137
HX10,2,1980,314,30.101,31.391
HX10,205,1980,324,30.701,31.743
HX16,1,1981,205,31.378,32.188
HX16,151,1981,232,30.33,32.043
HX23,3,1981,31,30.198,31.373
HX23,98,1981,317,30.188,31.237
HX23,144,1981,319,30.943,31.665
HX24,2,1981,320,30.965,31.805
HX24,127,1981,324,30.93,31.904
HX24,213,1981,327,30.246,31.739
HX25,2,1982,115,31.724,31.795
HX25,83,1982,12,31.713,31.828
HX27,6,1982,160,31.76,31.869
HX30,1,1982,195,31.744,32.188
HX32,1,1982,227,31.775,32.373
HX32,5,1982,229,31.81,32.398
HX34,1,1982,250,31.622,NA
HX37,5,1982,30,31.121,31.938
HX37,54,1982,316,30.822,31.581
HX39,2,1982,350,30.918,31.293
HX40,1,1983,40,31.234,31.798
HX42,2,1983,90,31.531,31.8
HX42,24,1983,95,31.605,31.734
HX42,25,1983,95,31.564,31.699
HX42,138,1983,98,31.567,31.781
HX42,180,1983,99,31.613,31.798
HX45,2,1983,156,31.578,31.912
HX45,100,1983,158,31.594,32.055
HX45,175,1983,161,31.732,31.854
HX51,2,1983,249,31.4,32.033
HX51,49,1983,250,31.492,32.028
HX51,50,1983,251,31.202,32.077
HX51,109,1983,24,31.202,32.042
HX53,8,1983,276,31.365,31.977
HX53,10,1983,276,31.218,31.998
HX54,2,1983,296,30.642,31.973
HX54,103,1983,298,30.475,31.939
HX54,111,1983,300,30.272,31.726
HX54,118,1983,300,30.06,31.567
HX55,3,1984,126,31.277,31.654
HX55,17,1984,128,31.341,31.695
HX55,107,1984,131,31.321,31.829
HX57,1,1984,136,31.178,31.702
HX58,2,1984,154,31.563,31.849
HX58,166,1984,158,31.544,31.861
HX61,2,1984,224,31.299,32.046
HX61,3,1984,224,31.302,32.096
HX61,122,1984,229,31.324,32.156
HX65,2,1984,301,31.198,32.013
HX65,125,1984,306,31.526,31.951
HX67,11,1985,84,31.331,31.767
HX77,4,1985,289,31.139,32.381
HX79,2,1986,6,31.386,31.966
HX79,4,1986,69,31.386,31.775
HX79,25,1986,72,31.412,31.8
HX79,48,1986,75,31.431,31.678
HX81,2,1986,130,31.758,32.02
HX81,38,1986,135,31.835,31.999
HX92,2,1986,307,31.209,32.083
HX92,52,1986,317,31.005,31.909
HX94,2,1986,348,30.498,31.728
HX94,18,1986,352,30.427,31.65
HX95,2,1987,47,31.025,31.338
HX95,70,1987,61,31.043,31.667
HX96,1,1987,74,31.241,31.34
HX97,2,1987,110,31.37,31.725
HX98,145,1987,14,31.413,31.671
HX104,3,1987,251,31.841,32.261
HX108,2,1987,333,30.65,31.609
HX108,76,1987,347,30.466,31.615
HX111,2,1988,93,31.221,31.733
HX111,93,1988,107,31.132,31.582
HX112,2,1988,110,31.271,31.767
HX112,95,1988,139,31.26,31.783
HX114,134,1988,179,31.177,32.135
HX115,0,1988,193,31.294,32.039
HX118,2,1988,256,31.453,32.034
HX118,77,1988,2,31.354,32.112
HX120,2,1988,332,30.585,31.838
HX120,43,1988,345,30.735,31.569
HX121,2,1989,95,31.735,31.937
LO1,1,1989,120,31.714,31.937
HX123,3,1989,12,31.733,32.038
HX123,52,1989,130,31.763,31.995
HX124,2,1989,132,31.739,32.041
HX124,90,1989,147,31.573,31.973
HX125,2,1989,151,31.602,31.977
HX125,38,1989,15,31.569,32.048
HX126,10,1989,159,31.446,32.098
LO3,2,1989,176,31.78,32.06
LO3,3,1989,176,31.327,32.139
LO3,4,1989,176,31.437,32.211
LO3,5,1989,176,31.445,32.236
LO3,6,1989,176,31.499,32.168
LO3,7,1989,176,31.69,NA
HX132,2,1989,274,31.4,32.464
HX132,10,1989,279,30.987,32.397
HX133,10,1989,297,31.281,32.321
HX134,2,1989,300,30.302,31.717
HX134,66,1989,306,31.046,32.01
HX135,2,1989,338,30.917,31.772
HX135,21,1989,340,30.769,31.592
HX137,1,1990,93,31.529,31.84
HX139,2,1990,15,31.695,32.208
HX140,9,1990,195,31.525,32.303
HX141,2,1990,20,31.246,32.023
HX141,22,1990,235,31.098,32.17
HX143,2,1990,253,31.614,32.305
HX143,18,1990,254,31.477,32.26
HX144,2,1990,274,31.366,32.196
HX144,33,1990,276,31.384,32.159
HX144,77,1990,277,31.266,32.265
HX145,3,1990,345,31.198,31.795
HX145,36,1990,348,31.321,31.81
HX146,2,1991,39,31.667,31.679
LO5,1,1991,8,31.641,31.97
LO6,2,1991,115,31.504,31.824
LO7,1,1991,13,31.518,31.963
LO8,2,1991,168,31.397,31.978
LO8,3,1991,168,31.423,31.975
LO9,1,1991,19,31.393,32.122
LO9,2,1991,203,31.345,32.113
LO10,2,1991,232,31.117,32.198
HX159,105,1991,268,30.393,31.795
HX160,3,1991,275,29.123,31.748
LO11,1,1991,316,30.496,31.695
LO12,1,1992,26,30.996,31.083
HX161,4,1992,75,31.192,31.393
LO13,1,1992,10,31.231,31.543
LO13,2,1992,112,31.235,31.539
LO14,2,1992,140,31.193,31.641
LO15,1,1992,172,31.299,31.882
LO16,1,1992,201,31.144,32.119
HX163,1,1992,204,31.249,32.216
LO17,1,1992,281,30.956,31.936
HX167,16,1992,299,30.705,31.93
LO18,1,1992,323,30.58,31.904
LO19,1,1992,35,30.6,31.512
LO22,2,1993,94,31.312,31.738
LO22,3,1993,94,31.391,31.717
LO23,2,1993,126,31.474,31.627
LO24,2,1993,165,31.608,31.667
LO25,2,1993,187,31.787,31.958
HX173,17,1993,245,31.701,32.274
HX174,2,1993,251,31.699,32.238
LO26,2,1993,277,30.797,32.217
HX175,34,1993,306,31.02,32.038
LO27,2,1993,354,30.84,31.553
LO28,2,1994,19,31.005,31.528
LO29,2,1994,7,31.404,31.577
HX177,2,1994,122,31.37,31.572
LO31,2,1994,144,31.145,31.523
LO32,2,1994,177,31.031,31.687
LO33,2,1994,213,31.285,32.13
HX180,6,1994,22,31.531,32.228
HX181,65,1994,249,31.391,32.117
HX182,2,1994,252,31.63,32.273
LO34,2,1994,30,30.527,31.76
LO35,2,1994,34,30.566,31.659
LO36,2,1995,5,31.023,31.671
LO37,2,1995,59,31.338,31.578
LO38,1,1995,106,31.409,31.671
HX183,2,1995,127,31.494,31.693
HX185,2,1995,149,31.374,31.904
HX185,27,1995,174,31.473,31.949
HX188,2,1995,208,31.669,32.301
HX190,210,1995,279,30.069,32.156
LO39,2,1995,317,30.882,31.762
LO41,2,1996,43,31.558,31.576
LO42,2,1996,71,31.619,31.698
LO43,2,1996,100,31.733,31.768
HX191,7,1996,113,31.698,31.843
HX192,2,1996,121,31.744,31.903
HX192,54,1996,131,31.771,32.031
LO44,2,1996,163,31.742,31.841
LO45,2,1996,206,31.536,32.155
LO46,2,1996,234,31.511,32.153
LO47,2,1996,262,31.577,31.989
LO48,2,1996,29,30.98,31.873
LO49,2,1996,314,30.28,32.002
LO50,2,1997,37,31.378,31.581
LO51,2,1997,62,31.299,31.62
HX195,7,1997,77,31.29,31.413
LO52,2,1997,160,31.638,31.874
LO53,2,1997,180,31.786,32.075
HX198,2,1997,200,31.469,32.216
HX198,3,1997,217,31.493,32.147
