Year,total discharge
1931,350956.157
1932,252658.4897
1933,251599.1106
1934,193968.8666
1935,217812.6936
1936,310566.1748
1937,294282.2729
1938,331814.6931
1939,394750.0858
1940,354251.61
1941,297624.46
1942,311020.608
1943,321746.8613
1944,346559.703
1945,314186.9118
1946,275611.0957
1947,319438.255
1948,313233.5077
1949,299048.5991
1950,195149.1446
1951,242941.7565
1952,312570.2637
1953,292213.0449
1954,255484.5292
1955,280852.6403
1956,284497.839
1957,258466.5465
1958,316299.11
1959,307927.9867
1960,322484.0492
1961,335427.422
1962,257898.0132
1963,259928.241
1964,278688.181
1965,215260.6981
1966,251867.2434
1967,267230.3851
1968,250558.6705
1969,259762.7947
1970,262705.315
1971,237275.0607
1972,227100.2844
1973,217824.0711
1974,279620.432
1975,252906.5854
1976,327652.4539
1977,306782.9817
1978,240079.2399
1979,253325.3955
1980,300235.9495
1981,298314.112
1982,220808.3033
1983,283441.221
1984,252524.6678
1985,279179.2326
1986,332840.148
1987,384128.026
1988,324591.4224
1989,264924.8863
1990,280384.9844
1991,342386.8612
1992,337632.129
1993,292579.9914
1994,299951.5405
1995,284705.6462
1996,252000.3579
1997,307158.1256
1998,298739.391
1999,331117.1795
2000,324565.5629
2001,281154.535
2002,313336.4651
2003,262465.372
2004,298415.4619
2005,319096.7832
2006,267765.3459
2007,314611.1165
2008,315397.2922
2009,275038.9773
2010,292554.1601
2011,273244.4344
2012,308300.4981
2013,295016.7092
