FID,SpawnID,SURV_TYP,SURV_ID,YEAR,DATE,TIME,DATETIME,SPAWN_ID,EST_MILES,MEAS_MILES,ASSOC_SCHL,TIDE_HT,TIDE_CMT,EST_BIOMS,DEP_RANGE,LOC_DESC,LOC_ACCUR,LOC_AC_DES,DISTRICT,SUBDIST,STAT_AR,STAT_AR_DE,H_MGT_AR,INDEX_AR,AIRCRAFT,ALTITUDE,SURVEYOR,SURV_HRS,WEATHER,COMMENTS,DEP_CAT,DEP_CAT_DE,SURV_CON,SURV_CON_D,AR_CON,AR_CON_DES,version,geometry
RN_KameshakSpawn.1,275,Aerial,1994.11,1994,1994-05-01T00:00:00,1410,1.99405E+11,1994.09,0.16,0.191,,-0.2,,0,0-3,Northern Chenik Head,E,Estimated,Kamishak,Chenik Subdistrict,24955,Chenik River,Area 5,8; Chenik/Nordyke,Cessna 185,1500,Bucher,1.25,,"""Spot spawn""",1,shallow (<5m),3,Fair,3,Fair,0,"LINESTRING (-154.11614197033728 59.21431492202138, -154.11468449215826 59.21448098729324, -154.11193147782015 59.21423188908141, -154.11095982570083 59.21398278904545)"
RN_KameshakSpawn.2,276,Aerial,1994.11,1994,1994-05-01T00:00:00,1410,1.99405E+11,1994.1,0.16,0.196,,-0.2,,0,0-3,Northern Chenik Head,E,Estimated,Kamishak,Chenik Subdistrict,24955,Chenik River,Area 5,8; Chenik/Nordyke,Cessna 185,1500,Bucher,1.25,,"""Spot spawn""",1,shallow (<5m),3,Fair,3,Fair,0,"LINESTRING (-154.1197263351442 59.2184097681316, -154.1189210992679 59.21766980744093, -154.11870394787522 59.216522784948395, -154.11947073832698 59.21578892988164)"
RN_KameshakSpawn.3,277,Aerial,1994.13,1994,1994-05-06T00:00:00,1130,1.99405E+11,1994.11,0.3,0.268,,10.1,,0,0,Inside Bruin Bay,E,Estimated,Kamishak,Bruin Bay Subdistrict,24970,Bruin Bay,Area 6,7; Bruin/Amakdedori,Cessna 185,1500,Bucher,2.22,,,1,shallow (<5m),4,Poor,4,Poor,0,"LINESTRING (-153.99815290204288 59.36106183627513, -153.99905643066927 59.36025460782754, -153.99939525390414 59.35910139090742, -153.99894348959094 59.35817878905913, -153.99770113772973 59.35765981445982)"
RN_KameshakSpawn.4,278,Aerial,1994.13,1994,1994-05-06T00:00:00,1200,1.99405E+11,1994.12,0.4,0.463,,11,,0,0-24,N of Chenik Head,E,Estimated,Kamishak,Chenik Subdistrict,24955,Chenik River,Area 5,8; Chenik/Nordyke,Cessna 185,1500,Bucher,2.22,,,1,shallow (<5m),4,Poor,4,Poor,0,"LINESTRING (-154.12342486527095 59.22100510891443, -154.1216378442506 59.22139771341561, -154.11985082323028 59.22152858057546, -154.1162767811897 59.221135977585114, -154.11321331658334 59.221463147058486, -154.11091571812858 59.22198661166879)"
RN_KameshakSpawn.5,279,Aerial,1994.15,1994,1994-05-13T00:00:00,1050,1.99405E+11,1994.13,0.5,0.487,,-1.1,,0,8-May,N of The Toadstools,E,Estimated,Kamishak,Iniskin Bay Subdistrict,24985,Iniskin Bay,Area 9,3; Iniskin,Cessna 185,1500,Hammarstrom,2.08,,spawn w/mud,1,shallow (<5m),3,Fair,3,Fair,0,"LINESTRING (-153.40219974073185 59.67610686426825, -153.4049596187555 59.67505998125297, -153.40754700440274 59.67392582095621, -153.40927192816756 59.67252987849109, -153.41082435955587 59.67078486836914)"
RN_KameshakSpawn.6,280,Aerial,1994.15,1994,1994-05-13T00:00:00,1050,1.99405E+11,1994.14,0.25,0.3,,-1.1,,0,11-Jun,N of The Toadstools,E,Estimated,Kamishak,Iniskin Bay Subdistrict,24985,Iniskin Bay,Area 9,3; Iniskin,Cessna 185,1500,Hammarstrom,2.08,,birds/spawn,1,shallow (<5m),3,Fair,3,Fair,0,"LINESTRING (-153.4080623152116 59.66722550056138, -153.4059945730144 59.66746909799145, -153.40323469499074 59.66773088130221, -153.39961235508466 59.667643620426524)"
RN_KameshakSpawn.7,281,Aerial,1994.15,1994,1994-05-13T00:00:00,1050,1.99405E+11,1994.15,0.25,0.348,,-1.1,,0,6,N of The Toadstools,E,Estimated,Kamishak,Iniskin Bay Subdistrict,24985,Iniskin Bay,Area 9,3; Iniskin,Cessna 185,1500,Hammarstrom,2.08,,birds/spawn,1,shallow (<5m),3,Fair,3,Fair,0,"LINESTRING (-153.4079906539499 59.665122778974855, -153.40547709588495 59.66476388366825, -153.40271721786127 59.66476388366825, -153.39892238557874 59.665112955888624, -153.39824472236222 59.6652315436816)"
RN_KameshakSpawn.8,282,Aerial,1994.16,1994,1994-05-13T00:00:00,1410,1.99405E+11,1994.16,0.8,0.832,,5.4,,0,9-Jan,Douglas River Reef,E,Estimated,Kamishak,Kamishak River Subdistrict,24945,Kamishak River,Area 5,9; Kamishak,Cessna 185,1500,Bucher,2.08,,Fresh/new spawn,1,shallow (<5m),2,Good,3,Fair,0,"LINESTRING (-153.8487998793912 59.112116099716985, -153.84773651873414 59.10910825839492, -153.8458756375842 59.10596341378889, -153.84401475643426 59.10377552503775, -153.8392296334773 59.101587496165536)"
RN_KameshakSpawn.9,283,Aerial,1994.19,1994,1994-05-26T00:00:00,1145,1.99405E+11,1994.17,0.133,0.366,,-4.6,,0,6-May,Oil Reef,E,Estimated,Kamishak,,24990,Oil/Dry Bay,Area 10,2; Oil Bay,Cessna 185,1500,Bucher,1.67,,"Active spawn, 600' - 800' long",1,shallow (<5m),3,Fair,3,Fair,0,"LINESTRING (-153.2953900069771 59.62299253897801, -153.29849686941873 59.62130627204904, -153.30349004119992 59.61973234626508)"
RN_KameshakSpawn.10,284,Aerial,1994.19,1994,1994-05-26T00:00:00,1200,1.99405E+11,1994.18,0.075,0.286,,-1.4,,0,12-Jun,Iniskin Island,E,Estimated,Kamishak,,24935,Northeast Outer,Area 9,3; Iniskin,Cessna 185,1500,Bucher,1.67,,Spawning occurring at the time of the survey,1,shallow (<5m),3,Fair,3,Fair,0,"LINESTRING (-153.43533506843312 59.62493063069707, -153.43217961593925 59.62577184678831, -153.42919023989248 59.627538331753335)"
RN_KameshakSpawn.11,285,Aerial,1994.19,1994,1994-05-26T00:00:00,1200,1.99405E+11,1994.19,0.194,0.383,,-4.2,,0,0-24,Iniskin Island,E,Estimated,Kamishak,,24990,Oil/Dry Bay,Area 9,3; Iniskin,Cessna 185,1500,Bucher,1.67,,Spawning occurring at the time of the survey,1,shallow (<5m),3,Fair,3,Fair,0,"LINESTRING (-153.42769555186908 59.626276566302344, -153.42520440516347 59.6256036052706, -153.42254718201076 59.625267119679926, -153.41939172951692 59.6256036052706, -153.41806311794065 59.62644480444579)"
