Year,(W) E FORK CHISTOCHINA R,(W) GULKANA R,(W) KLUTINA R,(W) TONSINA R,ELMENDORF,FORT RICHARDSON,GULKANA,SOLOMON GULCH,WALLY NOERENBERG,WILLIAM JACK HERNANDEZ,Grand Total
1981,,,,,109850,,,,,,109850
1983,,,,,112020,,,,,,112020
1984,,,,,117590,,,,,,117590
1985,,,,,132157,,,,,,132157
1986,,,,,85164,74922,,,57544,,217630
1987,,,,,50143,,,,,,50143
1988,,,,,,,1388,,44787,,46175
1989,,,,,,,16036,,144934,,160970
1990,,,,,,,,,141939,,141939
1991,,,,,,,26209,192945,410897,,630051
1992,,,,,,,65200,94748,478894,,638842
1993,,,,,,,,196947,472431,,669378
1994,,,,,,,,,787149,,787149
1995,,,,,,,,,637132,,637132
1996,,,,,,,,,86415,,86415
1997,,23938,23931,24142,,,,,95844,,167855
1998,23865,33013,,23712,,,,,79038,,159628
1999,23803,29745,24248,,,149423,,,,,227219
2000,,,,,279971,,,,,,279971
2001,,,,,285336,,,,,,285336
2002,,,,,,327280,,,,,327280
2003,,,,,,329118,,,,,329118
2004,,,,,78906,207169,,,,,286075
2005,,,,,,348859,,,,,348859
2006,,,,,,225797,,,,,225797
2007,,,,,,246101,,,,,246101
2008,,,,,,241330,,,,,241330
2009,,,,,,176056,,,,,176056
2010,,,,,,334065,,,,,334065
2011,,,,,,300304,,,,,300304
2012,,,,,,,,,49700,302166,351866
2013,,,,,,,,,48000,209639,257639
2014,,,,,,,,,25800,180891,206691
