Year,CANNERY CREEK,ELMENDORF,FORT RICHARDSON,SOLOMON GULCH,WALLY NOERENBERG,Grand Total
1978,,63834,78917,,,142751
1979,,81443,6450,,,87893
1980,,50057,,,,50057
1981,,,173231,,,173231
1982,,9750,,,,9750
1983,181386,93235,,,,274621
1984,,41661,61261,,,102922
1985,,108500,261058,90000,,459558
1986,,104696,252811,231538,98778,687823
1987,,55546,162492,314751,376385,909174
1988,,107428,,826424,871469,1805321
1989,,,157492,980000,5099043,6236535
1990,,,143009,807137,2460620,3410766
1991,,,,1006869,2223626,3230495
1992,,,,1226044,1831198,3057242
1993,,,,461388,1303077,1764465
1994,,,,915087,1484936,2400023
1995,,,,1325316,2063956,3389272
1996,,,,1875823,275406,2151229
1997,,,,1314913,203651,1518564
1998,,,,1748486,407715,2156201
1999,,,,1863528,1068338,2931866
2000,,,,1625599,375670,2001269
2001,,,,1516328,221967,1738295
2002,,,,1841889,485834,2327723
2003,,,,1295145,920858,2216003
2004,,,,1442274,989383,2431657
2005,,,,1968366,1057922,3026288
2006,,,,1511592,1052897,2564489
2007,,,,1973604,1850000,3823604
2008,,,,1828100,1930000,3758100
2009,,,,1525927,226000,1751927
2010,,,,1915058,3490000,5405058
2011,,,,2111389,3480000,5591389
2012,,,,1879768,1018000,2897768
2013,,,,1657016,3210000,4867016
2014,,,,1810315,907000,2717315
